"ID","Via","Velocidade_Verificada_Km_h","Fila_em_metros","Vel_verificada_ms","Atraso_segundos","Data","Hora","pico","fase","date_brasil"
4714,Av. Independência - Pista Dir.,10.78,397,2.99444444444444,92,2019-09-04,16:06:11,tarde,pre,01/11/2019
4814,Av. Osvaldo Aranha,19.39,985,5.38611111111111,80,2019-09-04,16:58:11,tarde,pre,01/11/2019
4914,Av. Independência,7.57,876,2.10277777777778,327,2019-09-04,16:58:00,tarde,pre,01/11/2019
5014,R. Garibaldi,8.58,672,2.38333333333333,185,2019-09-04,16:52:23,tarde,pre,01/11/2019
5114,R. Mostardeiro,10.1,620,2.80555555555556,164,2019-09-04,16:36:50,tarde,pre,01/11/2019
5214,Av. Osvaldo Aranha,6.58,985,1.82777777777778,446,2019-09-04,17:01:43,tarde,pre,01/11/2019
5314,Av. Independência - Pista Dir.,7.66,414,2.12777777777778,152,2019-09-04,16:06:11,tarde,pre,01/11/2019
5414,R. Santo Antônio,6.65,643,1.84722222222222,243,2019-09-04,16:46:21,tarde,pre,01/11/2019
5513,R. Sarmento Leite,13,569,3.61111111111111,100,2019-09-04,18:08:37,tarde,pre,01/11/2019
568,Av. Independência,9.79,876,2.71944444444444,233,2019-09-04,16:58:00,tarde,pre,01/11/2019
575,R. Garibaldi,13.4,672,3.72222222222222,84,2019-09-04,18:23:22,tarde,pre,01/11/2019
585,Av. Osvaldo Aranha,14.16,799,3.93333333333333,124,2019-09-04,17:01:43,tarde,pre,01/11/2019
595,Av. Independência - Pista Dir.,8.26,414,2.29444444444444,137,2019-09-04,16:06:11,tarde,pre,01/11/2019
605,R. Mostardeiro,7.64,620,2.12222222222222,235,2019-09-04,18:43:31,tarde,pre,01/11/2019
619,R. Santo Antônio,6.65,936,1.84722222222222,360,2019-09-04,18:47:20,tarde,pre,01/11/2019
625,R. Sarmento Leite,12.02,569,3.33888888888889,113,2019-09-04,19:54:58,tarde,pre,01/11/2019
635,R. Garibaldi,11.13,447,3.09166666666667,80,2019-09-04,19:55:05,tarde,pre,01/11/2019
645,R. Sarmento Leite,15.68,569,4.35555555555556,73,2019-09-05,16:51:56,tarde,pre,01/11/2019
655,Av. Independência,12.56,742,3.48888888888889,136,2019-09-05,16:40:17,tarde,pre,01/11/2019
665,R. Garibaldi,10.53,424,2.925,82,2019-09-05,16:43:32,tarde,pre,01/11/2019
675,R. Mostardeiro,15.85,698,4.40277777777778,82,2019-09-05,16:46:13,tarde,pre,01/11/2019
685,R. Santo Antônio,12.6,643,3.5,79,2019-09-05,16:49:23,tarde,pre,01/11/2019
695,Av. Osvaldo Aranha,19.78,699,5.49444444444444,61,2019-09-05,16:55:17,tarde,pre,01/11/2019
705,R. Garibaldi,12.03,672,3.34166666666667,105,2019-09-05,16:55:36,tarde,pre,01/11/2019
719,Av. Osvaldo Aranha,9.8,1157,2.72222222222222,316,2019-09-05,17:05:30,tarde,pre,01/11/2019
725,R. Prof. Annes Dias,5.08,346,1.41111111111111,211,2019-09-05,17:34:31,tarde,pre,01/11/2019
735,R. Sarmento Leite,12.18,647,3.38333333333333,124,2019-09-05,17:39:04,tarde,pre,01/11/2019
745,Av. Independência,7.66,876,2.12777777777778,322,2019-09-05,17:17:08,tarde,pre,01/11/2019
755,R. Garibaldi,9.47,1020,2.63055555555556,239,2019-09-05,17:28:20,tarde,pre,01/11/2019
765,Av. Independência - Pista Dir.,10.93,414,3.03611111111111,93,2019-09-05,17:56:05,tarde,pre,01/11/2019
775,R. Mostardeiro,12.34,620,3.42777777777778,124,2019-09-05,17:51:10,tarde,pre,01/11/2019
785,R. Santo Antônio,5.82,936,1.61666666666667,433,2019-09-05,17:56:10,tarde,pre,01/11/2019
795,Av. Independência,9.92,876,2.75555555555556,228,2019-09-05,17:17:08,tarde,pre,01/11/2019
805,R. Sarmento Leite,14.01,569,3.89166666666667,89,2019-09-05,17:39:04,tarde,pre,01/11/2019
819,R. Garibaldi,11.68,672,3.24444444444444,111,2019-09-05,17:28:20,tarde,pre,01/11/2019
825,Av. Osvaldo Aranha,6.61,799,1.83611111111111,356,2019-09-05,17:05:30,tarde,pre,01/11/2019
835,Av. Independência - Pista Dir.,8.7,414,2.41666666666667,128,2019-09-05,17:56:05,tarde,pre,01/11/2019
845,R. Mostardeiro,10.34,1111,2.87222222222222,265,2019-09-05,18:27:01,tarde,pre,01/11/2019
855,R. Santo Antônio,5.13,643,1.425,346,2019-09-05,18:16:57,tarde,pre,01/11/2019
865,R. Garibaldi,8.35,450,2.31944444444444,123,2019-09-05,18:58:32,tarde,pre,01/11/2019
875,R. Sarmento Leite,14.94,647,4.15,89,2019-09-05,19:57:21,tarde,pre,01/11/2019
885,R. Santo Antônio,11.94,643,3.31666666666667,89,2019-09-05,19:52:09,tarde,pre,01/11/2019
895,R. Sarmento Leite,8.65,329,2.40277777777778,101,2019-09-06,16:39:41,tarde,pre,01/11/2019
905,R. Mostardeiro,7.52,1111,2.08888888888889,410,2019-09-06,16:14:37,tarde,pre,01/11/2019
919,R. Garibaldi,4.81,1217,1.33611111111111,731,2019-09-06,16:59:18,tarde,pre,01/11/2019
925,R. Santo Antônio,7.94,643,2.20555555555556,187,2019-09-06,16:34:21,tarde,pre,01/11/2019
935,Av. Independência - Pista Dir.,10.12,397,2.81111111111111,100,2019-09-06,16:41:24,tarde,pre,01/11/2019
945,R. Garibaldi,3.23,450,0.897222222222222,430,2019-09-06,16:49:16,tarde,pre,01/11/2019
955,R. Garibaldi,7.1,672,1.97222222222222,244,2019-09-06,16:45:06,tarde,pre,01/11/2019
965,R. Sarmento Leite,1.72,218,0.477777777777778,423,2019-09-06,17:13:19,tarde,pre,01/11/2019
975,R. Prof. Annes Dias,2.49,346,0.691666666666667,465,2019-09-06,17:13:43,tarde,pre,01/11/2019
985,R. Sarmento Leite,13.41,647,3.725,107,2019-09-06,16:39:41,tarde,pre,01/11/2019
995,R. Garibaldi,4.46,1217,1.23888888888889,802,2019-09-06,16:59:18,tarde,pre,01/11/2019
1005,Av. Osvaldo Aranha,10.02,500,2.78333333333333,122,2019-09-06,17:27:24,tarde,pre,01/11/2019
1019,R. Santo Antônio,4.06,643,1.12777777777778,464,2019-09-06,17:23:59,tarde,pre,01/11/2019
1025,R. Mostardeiro,13.72,867,3.81111111111111,129,2019-09-06,17:56:50,tarde,pre,01/11/2019
1035,R. Sarmento Leite,3.02,218,0.838888888888889,227,2019-09-06,17:13:19,tarde,pre,01/11/2019
1045,R. Prof. Annes Dias,5.02,346,1.39444444444444,213,2019-09-06,17:13:43,tarde,pre,01/11/2019
1055,R. Sarmento Leite,13.88,569,3.85555555555556,90,2019-09-06,18:22:03,tarde,pre,01/11/2019
1065,Av. Osvaldo Aranha,4.92,326,1.36666666666667,199,2019-09-06,18:17:17,tarde,pre,01/11/2019
1075,R. Garibaldi,6.76,672,1.87777777777778,261,2019-09-06,18:55:00,tarde,pre,01/11/2019
1085,R. Garibaldi,5.36,1217,1.48888888888889,638,2019-09-06,18:58:15,tarde,pre,01/11/2019
1095,Av. Independência - Pista Dir.,9.9,414,2.75,108,2019-09-06,18:51:08,tarde,pre,01/11/2019
1109,R. Mostardeiro,12.01,620,3.33611111111111,129,2019-09-06,18:45:48,tarde,pre,01/11/2019
1119,R. Garibaldi,3.61,450,1.00277777777778,377,2019-09-06,18:54:26,tarde,pre,01/11/2019
1125,R. Santo Antônio,8.17,936,2.26944444444444,266,2019-09-06,18:51:01,tarde,pre,01/11/2019
1135,R. Garibaldi,9.21,672,2.55833333333333,166,2019-09-06,19:23:08,tarde,pre,01/11/2019
1145,R. Santo Antônio,11.25,568,3.125,85,2019-09-06,19:35:01,tarde,pre,01/11/2019
1155,R. Garibaldi,2.43,424,0.675,564,2019-09-06,18:58:15,tarde,pre,01/11/2019
1165,R. Garibaldi,9.5,450,2.63888888888889,99,2019-09-06,18:58:15,tarde,pre,01/11/2019
1175,R. Santo Antônio,10.41,643,2.89166666666667,117,2019-09-09,16:48:06,tarde,pre,01/11/2019
1185,R. Mostardeiro,14.59,698,4.05277777777778,96,2019-09-09,16:50:59,tarde,pre,01/11/2019
1195,Av. Osvaldo Aranha,21.85,985,6.06944444444444,60,2019-09-09,16:59:13,tarde,pre,01/11/2019
1205,Av. Independência,8.44,876,2.34444444444444,284,2019-09-09,17:25:19,tarde,pre,01/11/2019
1219,R. Prof. Annes Dias,6.81,346,1.89166666666667,148,2019-09-09,17:53:57,tarde,pre,01/11/2019
1225,R. Sarmento Leite,12.45,647,3.45833333333333,120,2019-09-09,17:28:22,tarde,pre,01/11/2019
1235,Av. Independência - Pista Dir.,8.68,397,2.41111111111111,124,2019-09-09,17:42:02,tarde,pre,01/11/2019
1245,R. Garibaldi,10.18,672,2.82777777777778,141,2019-09-09,17:07:21,tarde,pre,01/11/2019
1255,R. Mostardeiro,11.06,620,3.07222222222222,145,2019-09-09,17:24:44,tarde,pre,01/11/2019
1265,R. Santo Antônio,6.86,280,1.90555555555556,100,2019-09-09,16:48:06,tarde,pre,01/11/2019
1275,Av. Osvaldo Aranha,7.61,799,2.11388888888889,299,2019-09-09,16:59:13,tarde,pre,01/11/2019
1284,R. Garibaldi,7.9,672,2.19444444444444,210,2019-09-09,17:07:21,tarde,pre,01/11/2019
1294,Av. Osvaldo Aranha,17.98,799,4.99444444444444,81,2019-09-09,16:59:13,tarde,pre,01/11/2019
1304,R. Tomaz Flores,5.7,280,1.58333333333333,115,2019-09-09,18:16:04,tarde,pre,01/11/2019
1318,R. Mostardeiro,12.01,1111,3.33611111111111,212,2019-09-09,17:24:44,tarde,pre,01/11/2019
1324,R. Santo Antônio,11.24,643,3.12222222222222,101,2019-09-09,18:38:24,tarde,pre,01/11/2019
1334,Av. Independência - Pista Dir.,11.79,414,3.275,84,2019-09-09,17:42:02,tarde,pre,01/11/2019
1344,R. Garibaldi,14.28,672,3.96666666666667,73,2019-09-09,19:37:30,tarde,pre,01/11/2019
1354,R. Santo Antônio,11.02,568,3.06111111111111,89,2019-09-09,19:57:50,tarde,pre,01/11/2019
1364,R. Garibaldi,6.6,253,1.83333333333333,96,2019-09-09,19:57:53,tarde,pre,01/11/2019
1374,Av. Independência,12.97,807,3.60277777777778,141,2019-09-10,16:09:32,tarde,pre,01/11/2019
1384,R. Sarmento Leite,12.85,569,3.56944444444444,102,2019-09-10,16:09:16,tarde,pre,01/11/2019
1394,R. Mostardeiro,11.92,698,3.31111111111111,134,2019-09-10,16:49:09,tarde,pre,01/11/2019
1404,R. Garibaldi,9.96,447,2.76666666666667,97,2019-09-10,16:12:57,tarde,pre,01/11/2019
1418,R. Santo Antônio,7.06,568,1.96111111111111,193,2019-09-10,16:45:26,tarde,pre,01/11/2019
1424,R. Sarmento Leite,2.11,218,0.586111111111111,338,2019-09-10,17:47:36,tarde,pre,01/11/2019
1434,R. Prof. Annes Dias,4.07,346,1.13055555555556,272,2019-09-10,17:12:52,tarde,pre,01/11/2019
1444,R. Sarmento Leite,7.35,347,2.04166666666667,107,2019-09-10,17:57:21,tarde,pre,01/11/2019
1454,Av. Independência,9.2,876,2.55555555555556,253,2019-09-10,16:09:32,tarde,pre,01/11/2019
1464,R. Sarmento Leite,11.93,647,3.31388888888889,128,2019-09-10,16:09:16,tarde,pre,01/11/2019
1474,Av. Independência - Pista Dir.,8.9,414,2.47222222222222,125,2019-09-10,17:30:33,tarde,pre,01/11/2019
1484,R. Mostardeiro,9.27,995,2.575,279,2019-09-10,17:09:08,tarde,pre,01/11/2019
1494,R. Santo Antônio,4.24,568,1.17777777777778,385,2019-09-10,16:45:26,tarde,pre,01/11/2019
1504,R. Garibaldi,8.97,411,2.49166666666667,101,2019-09-10,17:46:35,tarde,pre,01/11/2019
1518,Av. Independência,18.66,807,5.18333333333333,73,2019-09-10,16:09:32,tarde,pre,01/11/2019
1524,R. Sarmento Leite,14.34,569,3.98333333333333,86,2019-09-10,18:55:09,tarde,pre,01/11/2019
1534,R. Garibaldi,9.04,672,2.51111111111111,171,2019-09-10,17:46:35,tarde,pre,01/11/2019
1543,Av. Independência - Pista Dir.,9.19,414,2.55277777777778,119,2019-09-10,17:30:33,tarde,pre,01/11/2019
1553,R. Santo Antônio,3.64,643,1.01111111111111,529,2019-09-10,16:45:26,tarde,pre,01/11/2019
1563,R. Mostardeiro,10.37,620,2.88055555555556,158,2019-09-10,18:58:09,tarde,pre,01/11/2019
1573,R. Sarmento Leite,15.62,569,4.33888888888889,74,2019-09-10,19:50:13,tarde,pre,01/11/2019
1583,R. Garibaldi,15.48,672,4.3,60,2019-09-10,17:46:35,tarde,pre,01/11/2019
1593,R. Sarmento Leite,15.16,647,4.21111111111111,87,2019-09-11,16:55:10,tarde,pre,01/11/2019
1603,R. Garibaldi,9.23,424,2.56388888888889,103,2019-09-11,16:52:53,tarde,pre,01/11/2019
1617,R. Santo Antônio,11.87,568,3.29722222222222,76,2019-09-11,16:52:50,tarde,pre,01/11/2019
1623,R. Sarmento Leite,12.03,569,3.34166666666667,113,2019-09-11,17:25:13,tarde,pre,01/11/2019
1633,R. Prof. Annes Dias,6.49,346,1.80277777777778,157,2019-09-11,17:22:51,tarde,pre,01/11/2019
1643,Av. Independência,9.86,784,2.73888888888889,205,2019-09-11,17:16:24,tarde,pre,01/11/2019
1653,R. Santo Antônio,4.65,280,1.29166666666667,169,2019-09-11,17:22:54,tarde,pre,01/11/2019
1663,Av. Independência - Pista Dir.,9.27,414,2.575,118,2019-09-11,17:47:38,tarde,pre,01/11/2019
1673,R. Garibaldi,9.83,424,2.73055555555556,93,2019-09-11,17:25:19,tarde,pre,01/11/2019
1683,R. Mostardeiro,10.9,620,3.02777777777778,148,2019-09-11,17:08:04,tarde,pre,01/11/2019
1693,R. Sarmento Leite,14.97,569,4.15833333333333,80,2019-09-11,17:25:13,tarde,pre,01/11/2019
1703,R. Garibaldi,8.72,672,2.42222222222222,181,2019-09-11,18:09:25,tarde,pre,01/11/2019
1717,Av. Independência - Pista Dir.,6.33,414,1.75833333333333,193,2019-09-11,18:24:51,tarde,pre,01/11/2019
1723,Av. Independência,10.72,532,2.97777777777778,120,2019-09-11,17:16:24,tarde,pre,01/11/2019
1733,R. Santo Antônio,10.61,643,2.94722222222222,113,2019-09-11,18:54:13,tarde,pre,01/11/2019
1743,R. Mostardeiro,12.77,867,3.54722222222222,146,2019-09-11,17:08:04,tarde,pre,01/11/2019
1753,R. Tomaz Flores,8.07,280,2.24166666666667,63,2019-09-11,19:58:27,tarde,pre,01/11/2019
1763,R. Sarmento Leite,15.72,647,4.36666666666667,81,2019-09-11,19:43:41,tarde,pre,01/11/2019
1772,R. Sarmento Leite,15.5,569,4.30555555555556,75,2019-09-12,16:41:55,tarde,pre,01/11/2019
1782,R. Garibaldi,13.65,672,3.79166666666667,81,2019-09-12,16:55:10,tarde,pre,01/11/2019
1792,R. Santo Antônio,11.75,643,3.26388888888889,92,2019-09-12,16:57:56,tarde,pre,01/11/2019
1802,R. Sarmento Leite,12.88,569,3.57777777777778,102,2019-09-12,17:35:02,tarde,pre,01/11/2019
1816,Av. Independência,9.22,876,2.56111111111111,253,2019-09-12,17:10:52,tarde,pre,01/11/2019
1822,R. Garibaldi,9.86,672,2.73888888888889,149,2019-09-12,17:41:01,tarde,pre,01/11/2019
1832,R. Garibaldi,7,253,1.94444444444444,89,2019-09-12,17:59:51,tarde,pre,01/11/2019
1842,R. Mostardeiro,8.58,698,2.38333333333333,216,2019-09-12,17:41:58,tarde,pre,01/11/2019
1852,R. Santo Antônio,3.32,280,0.922222222222222,256,2019-09-12,16:57:56,tarde,pre,01/11/2019
1862,Av. Osvaldo Aranha,6.59,985,1.83055555555556,445,2019-09-12,17:05:44,tarde,pre,01/11/2019
1872,Av. Independência - Pista Dir.,8.41,414,2.33611111111111,134,2019-09-12,17:50:26,tarde,pre,01/11/2019
1882,R. Sarmento Leite,13.64,647,3.78888888888889,104,2019-09-12,17:35:02,tarde,pre,01/11/2019
1892,Av. Independência,12.67,876,3.51944444444444,160,2019-09-12,17:10:52,tarde,pre,01/11/2019
1902,R. Garibaldi,9.92,672,2.75555555555556,147,2019-09-12,17:41:01,tarde,pre,01/11/2019
1916,Av. Osvaldo Aranha,8.81,799,2.44722222222222,247,2019-09-12,17:05:44,tarde,pre,01/11/2019
1922,R. Santo Antônio,2.96,280,0.822222222222222,293,2019-09-12,18:24:10,tarde,pre,01/11/2019
1932,R. Mostardeiro,9.36,620,2.6,181,2019-09-12,18:58:17,tarde,pre,01/11/2019
1942,Av. Independência - Pista Dir.,7.12,414,1.97777777777778,166,2019-09-12,18:20:44,tarde,pre,01/11/2019
1952,R. Sarmento Leite,14.78,647,4.10555555555556,91,2019-09-12,19:52:21,tarde,pre,01/11/2019
1962,R. Santo Antônio,10.77,568,2.99166666666667,93,2019-09-12,18:24:10,tarde,pre,01/11/2019
1972,R. Sarmento Leite,17.06,647,4.73888888888889,70,2019-09-13,16:51:56,tarde,pre,01/11/2019
1982,R. Garibaldi,8.56,1191,2.37777777777778,330,2019-09-13,16:41:36,tarde,pre,01/11/2019
1992,R. Santo Antônio,10.32,936,2.86666666666667,180,2019-09-13,16:38:09,tarde,pre,01/11/2019
2002,R. Prof. Annes Dias,3.32,346,0.922222222222222,341,2019-09-13,17:42:42,tarde,pre,01/11/2019
2016,R. Sarmento Leite,12.6,647,3.5,118,2019-09-13,16:51:56,tarde,pre,01/11/2019
2022,R. Garibaldi,7.55,672,2.09722222222222,224,2019-09-13,16:41:36,tarde,pre,01/11/2019
2032,R. Santo Antônio,3,280,0.833333333333333,288,2019-09-13,17:51:15,tarde,pre,01/11/2019
2042,R. Garibaldi,5.5,450,1.52777777777778,223,2019-09-13,17:51:19,tarde,pre,01/11/2019
2052,R. Santo Antônio,4.45,152,1.23611111111111,95,2019-09-13,17:42:55,tarde,pre,01/11/2019
2062,R. Mostardeiro,11.49,751,3.19166666666667,151,2019-09-13,17:54:20,tarde,pre,01/11/2019
2072,R. Santo Antônio,2.98,153,0.827777777777778,158,2019-09-13,17:55:04,tarde,pre,01/11/2019
2082,R. Prof. Annes Dias,3.15,346,0.875,360,2019-09-13,17:42:42,tarde,pre,01/11/2019
2092,R. Sarmento Leite,7.38,439,2.05,139,2019-09-13,18:21:35,tarde,pre,01/11/2019
2106,Av. Osvaldo Aranha,2.83,136,0.786111111111111,158,2019-09-13,18:41:17,tarde,pre,01/11/2019
2116,R. Sarmento Leite,10.58,569,2.93888888888889,136,2019-09-13,16:51:56,tarde,pre,01/11/2019
2122,R. Tomaz Flores,5.12,280,1.42222222222222,134,2019-09-13,18:13:42,tarde,pre,01/11/2019
2132,R. Santo Antônio,6.18,280,1.71666666666667,116,2019-09-13,18:56:13,tarde,pre,01/11/2019
2142,R. Garibaldi,5.19,672,1.44166666666667,369,2019-09-13,18:22:12,tarde,pre,01/11/2019
2152,R. Garibaldi,6.23,424,1.73055555555556,182,2019-09-13,18:03:45,tarde,pre,01/11/2019
2162,R. Mostardeiro,18.38,867,5.10555555555556,72,2019-09-13,18:39:37,tarde,pre,01/11/2019
2172,R. Santo Antônio,4.8,445,1.33333333333333,264,2019-09-13,18:26:46,tarde,pre,01/11/2019
2182,R. Sarmento Leite,18.58,647,5.16111111111111,58,2019-09-13,16:51:56,tarde,pre,01/11/2019
2192,R. Mostardeiro,19.58,751,5.43888888888889,54,2019-09-13,19:52:34,tarde,pre,01/11/2019
2202,R. Garibaldi,10.09,672,2.80277777777778,143,2019-09-13,19:56:48,tarde,pre,01/11/2019
2216,R. Garibaldi,5.35,450,1.48611111111111,231,2019-09-13,19:25:35,tarde,pre,01/11/2019
2222,R. Garibaldi,10.03,450,2.78611111111111,90,2019-09-13,19:25:35,tarde,pre,01/11/2019
2232,R. Prof. Annes Dias,9.86,346,2.73888888888889,92,2019-09-16,16:53:34,tarde,pre,01/11/2019
2242,Av. Independência,11.15,876,3.09722222222222,194,2019-09-16,16:22:03,tarde,pre,01/11/2019
2252,R. Santo Antônio,11.39,568,3.16388888888889,83,2019-09-16,16:29:14,tarde,pre,01/11/2019
2262,Av. Osvaldo Aranha,12.53,799,3.48055555555556,151,2019-09-16,16:13:43,tarde,pre,01/11/2019
2272,Av. Independência - Pista Dir.,10.62,414,2.95,97,2019-09-16,16:58:31,tarde,pre,01/11/2019
2282,R. Garibaldi,9.84,672,2.73333333333333,149,2019-09-16,16:40:23,tarde,pre,01/11/2019
2292,R. Mostardeiro,10.6,698,2.94444444444444,160,2019-09-16,16:19:21,tarde,pre,01/11/2019
2302,Av. Independência,9.22,742,2.56111111111111,213,2019-09-16,16:22:03,tarde,pre,01/11/2019
2316,R. Sarmento Leite,12.15,647,3.375,125,2019-09-16,17:30:58,tarde,pre,01/11/2019
2322,Av. Osvaldo Aranha,8.14,985,2.26111111111111,342,2019-09-16,16:13:43,tarde,pre,01/11/2019
2332,R. Mostardeiro,15.45,867,4.29166666666667,104,2019-09-16,17:10:48,tarde,pre,01/11/2019
2342,R. Santo Antônio,3.7,153,1.02777777777778,123,2019-09-16,17:44:43,tarde,pre,01/11/2019
2352,R. Sarmento Leite,16.91,647,4.69722222222222,71,2019-09-16,17:30:58,tarde,pre,01/11/2019
2362,Av. Osvaldo Aranha,14.81,500,4.11388888888889,71,2019-09-16,16:13:43,tarde,pre,01/11/2019
2372,R. Mostardeiro,13.98,1111,3.88333333333333,165,2019-09-16,18:06:59,tarde,pre,01/11/2019
2382,R. Santo Antônio,12.26,643,3.40555555555556,84,2019-09-16,18:57:11,tarde,pre,01/11/2019
2392,R. Garibaldi,10.54,411,2.92777777777778,77,2019-09-16,18:02:56,tarde,pre,01/11/2019
2402,R. Sarmento Leite,15.6,569,4.33333333333333,74,2019-09-17,16:45:42,tarde,pre,01/11/2019
2416,R. Garibaldi,11.48,424,3.18888888888889,71,2019-09-17,16:56:36,tarde,pre,01/11/2019
2422,R. Mostardeiro,11.38,867,3.16111111111111,176,2019-09-17,16:13:32,tarde,pre,01/11/2019
2432,Av. Independência,14.23,532,3.95277777777778,77,2019-09-17,16:59:09,tarde,pre,01/11/2019
2442,R. Santo Antônio,9,568,2.5,130,2019-09-17,16:43:11,tarde,pre,01/11/2019
2452,R. Sarmento Leite,1.72,218,0.477777777777778,422,2019-09-17,17:45:00,tarde,pre,01/11/2019
2462,R. Prof. Annes Dias,3.12,346,0.866666666666667,364,2019-09-17,17:18:48,tarde,pre,01/11/2019
2472,R. Sarmento Leite,11.96,647,3.32222222222222,128,2019-09-17,16:45:42,tarde,pre,01/11/2019
2482,Av. Independência,7.62,742,2.11666666666667,274,2019-09-17,17:07:00,tarde,pre,01/11/2019
2492,Av. Independência - Pista Dir.,10.96,414,3.04444444444444,93,2019-09-17,17:28:34,tarde,pre,01/11/2019
2502,R. Garibaldi,10.47,450,2.90833333333333,84,2019-09-17,17:57:35,tarde,pre,01/11/2019
2516,R. Mostardeiro,8.42,620,2.33888888888889,208,2019-09-17,17:57:44,tarde,pre,01/11/2019
2522,R. Garibaldi,8.64,411,2.4,108,2019-09-17,17:48:58,tarde,pre,01/11/2019
2532,R. Santo Antônio,8.16,643,2.26666666666667,179,2019-09-17,16:43:11,tarde,pre,01/11/2019
2542,R. Sarmento Leite,3.23,221,0.897222222222222,209,2019-09-17,18:58:28,tarde,pre,01/11/2019
2552,R. Prof. Annes Dias,2.39,346,0.663888888888889,485,2019-09-17,17:18:48,tarde,pre,01/11/2019
2562,R. Sarmento Leite,11.84,647,3.28888888888889,130,2019-09-17,16:45:42,tarde,pre,01/11/2019
2572,Av. Independência,8.02,876,2.22777777777778,304,2019-09-17,17:07:00,tarde,pre,01/11/2019
2582,R. Garibaldi,7.54,672,2.09444444444444,224,2019-09-17,18:15:28,tarde,pre,01/11/2019
2592,R. Tomaz Flores,3.47,422,0.963888888888889,357,2019-09-17,18:23:23,tarde,pre,01/11/2019
2602,Av. Independência - Pista Dir.,6.83,414,1.89722222222222,175,2019-09-17,17:28:34,tarde,pre,01/11/2019
2616,R. Santo Antônio,5.06,643,1.40555555555556,352,2019-09-17,18:43:37,tarde,pre,01/11/2019
2622,R. Mostardeiro,8.11,995,2.25277777777778,334,2019-09-17,17:57:44,tarde,pre,01/11/2019
2632,R. Sarmento Leite,15.51,647,4.30833333333333,83,2019-09-17,16:45:42,tarde,pre,01/11/2019
2642,R. Santo Antônio,11.02,568,3.06111111111111,89,2019-09-17,18:43:37,tarde,pre,01/11/2019
2652,R. Mostardeiro,13.88,751,3.85555555555556,111,2019-09-17,17:57:44,tarde,pre,01/11/2019
2662,R. Garibaldi,10.39,411,2.88611111111111,79,2019-09-17,18:15:28,tarde,pre,01/11/2019
2672,Av. Independência,17.19,636,4.775,70,2019-09-18,16:45:56,tarde,pre,01/11/2019
2682,R. Sarmento Leite,14.1,647,3.91666666666667,98,2019-09-18,16:56:19,tarde,pre,01/11/2019
2692,R. Mostardeiro,9.9,376,2.75,103,2019-09-18,16:45:53,tarde,pre,01/11/2019
2702,R. Santo Antônio,10.45,643,2.90277777777778,116,2019-09-18,16:33:27,tarde,pre,01/11/2019
2716,R. Prof. Annes Dias,7.79,346,2.16388888888889,125,2019-09-18,17:18:14,tarde,pre,01/11/2019
2722,Av. Independência,10.58,876,2.93888888888889,209,2019-09-18,17:13:17,tarde,pre,01/11/2019
2732,R. Sarmento Leite,8.58,647,2.38333333333333,204,2019-09-18,17:29:58,tarde,pre,01/11/2019
2742,Av. Independência - Pista Dir.,9.87,414,2.74166666666667,108,2019-09-18,17:59:22,tarde,pre,01/11/2019
2752,R. Mostardeiro,6.86,620,1.90555555555556,268,2019-09-18,17:40:40,tarde,pre,01/11/2019
2762,Av. Osvaldo Aranha,11.09,699,3.08055555555556,160,2019-09-18,17:15:59,tarde,pre,01/11/2019
2772,R. Garibaldi,10.9,411,3.02777777777778,72,2019-09-18,17:36:10,tarde,pre,01/11/2019
2782,R. Santo Antônio,5.68,958,1.57777777777778,458,2019-09-18,17:49:36,tarde,pre,01/11/2019
2792,R. Garibaldi,11.78,1020,3.27222222222222,162,2019-09-18,18:36:03,tarde,pre,01/11/2019
2802,Av. Osvaldo Aranha,11.52,799,3.2,171,2019-09-18,17:15:59,tarde,pre,01/11/2019
2816,Av. Independência - Pista Dir.,6.54,397,1.81666666666667,178,2019-09-18,17:59:22,tarde,pre,01/11/2019
2822,R. Mostardeiro,9.02,620,2.50555555555556,190,2019-09-18,18:13:15,tarde,pre,01/11/2019
2832,R. Santo Antônio,3.34,936,0.927777777777778,862,2019-09-18,17:49:36,tarde,pre,01/11/2019
2842,R. Sarmento Leite,14.7,647,4.08333333333333,92,2019-09-18,19:57:42,tarde,pre,01/11/2019
2852,R. Garibaldi,13.7,672,3.80555555555556,80,2019-09-18,19:40:50,tarde,pre,01/11/2019
2862,R. Santo Antônio,9.48,568,2.63333333333333,119,2019-09-18,19:36:22,tarde,pre,01/11/2019
2872,R. Garibaldi,4.7,1217,1.30555555555556,753,2019-09-19,16:06:21,tarde,pre,01/11/2019
2882,Av. Osvaldo Aranha,6.1,500,1.69444444444444,237,2019-09-19,16:43:25,tarde,pre,01/11/2019
2892,Av. Independência - Pista Dir.,10.66,397,2.96111111111111,93,2019-09-19,16:14:07,tarde,pre,01/11/2019
2902,R. Mostardeiro,14.93,995,4.14722222222222,133,2019-09-19,16:34:35,tarde,pre,01/11/2019
2916,R. Sarmento Leite,14.11,647,3.91944444444444,98,2019-09-19,16:52:08,tarde,pre,01/11/2019
2922,R. Garibaldi,4.57,1191,1.26944444444444,766,2019-09-19,17:05:39,tarde,pre,01/11/2019
2932,Av. Osvaldo Aranha,9.76,699,2.71111111111111,191,2019-09-19,16:59:23,tarde,pre,01/11/2019
2942,Av. Osvaldo Aranha,3.4,413,0.944444444444444,389,2019-09-19,17:18:33,tarde,pre,01/11/2019
